Actual Cumulative Returns: 2018-11-19 to 2023-03-27,Algo Cumulative Returns: 2018-11-19 to 2023-03-27
0.661755615,0.586191319
0.680197816,0.569854989
0.671337317,0.577278123
0.66556769,0.582239383
0.674840305,0.574127689
0.665670719,0.581928814
0.663094993,0.584180511
0.671131259,0.577100636
0.654749639,0.591187065
0.638264991,0.606071397
0.624768185,0.618887435
0.595301875,0.648076387
0.590562539,0.653235874
0.604368432,0.668506915
0.591386771,0.654147578
0.595301875,0.658478171
0.605089635,0.669304656
0.614671337,0.679903214
0.627498455,0.694091607
0.639913456,0.707824147
0.638677107,0.709191703
0.63074387,0.718000827
0.626004533,0.723395803
0.626107562,0.723276745
0.637131671,0.710541742
0.633731712,0.714333443
0.634246858,0.713752778
0.634452916,0.71352089
0.630846899,0.717576302
0.630434783,0.718045077
0.625798475,0.723325683
0.622707604,0.72689825
0.61652586,0.734114314
0.627137853,0.721478322
0.621265197,0.728234403
0.636616526,0.710239888
0.6340408,0.713113492
0.639913456,0.706508443
0.644755821,0.701162139
0.645167937,0.700713969
0.647434577,0.698252182
0.650834535,0.694585358
0.675252421,0.668526037
0.677416031,0.66638398
0.671234288,0.67246505
0.662888935,0.680825705
0.665258603,0.678391918
0.666288893,0.677341287
0.667319184,0.676293906
0.672264579,0.671282002
0.677416031,0.666138078
0.687203791,0.656513269
0.683082629,0.66045038
0.694827941,0.64909422
0.697918813,0.64620679
0.695549145,0.648400879
0.693694622,0.650129692
0.687306821,0.656116331
0.681640223,0.661525774
0.667525242,0.675224237
0.657428395,0.685437538
0.661549557,0.681140798
0.671852462,0.67053278
0.65577993,0.686573742
0.649598187,0.693045765
0.640737688,0.702498887
0.638161962,0.70532289
0.639913456,0.703387067
0.630228725,0.714032435
0.637543787,0.705744663
0.650010303,0.691944549
0.650937564,0.690957467
0.656398104,0.685161211
0.662476818,0.67881613
0.637955904,0.703941828
0.630331754,0.712354569
0.616318772,0.72819101
0.616010715,0.728554985
0.613847105,0.731113883
0.599835154,0.747802619
0.591180713,0.758591939
0.585823202,0.765466596
0.579023285,0.774351716
0.559241706,0.800806437
0.551411498,0.812018907
0.562023491,0.796391488
0.546775191,0.817998443
0.552853905,0.808904434
0.562229549,0.795186524
0.570574902,0.783383316
0.559241706,0.798943475
0.541932825,0.823671276
0.528642077,0.84387158
0.522769421,0.853246103
0.52833299,0.844165439
0.520914898,0.832312882
0.529981455,0.84679934
0.516690707,0.825563509
0.536781372,0.857664184
0.542860087,0.867376696
0.529054193,0.845317771
0.527096641,0.842190013
0.530084484,0.837416066
0.529569339,0.838229882
0.550793324,0.804635455
0.549556975,0.806441595
0.549144859,0.80704635
0.563053781,0.786605214
0.562435607,0.787468824
0.561302287,0.789055591
0.546260045,0.810201353
0.546981249,0.80913168
0.553678137,0.799225189
0.552750876,0.800563676
0.556047805,0.795788645
0.550690295,0.803456055
0.591283742,0.744230295
0.589738306,0.746175487
0.574696064,0.765207915
0.581805069,0.755742274
0.577168762,0.761764658
0.572532454,0.767883796
0.580671749,0.756967327
0.584689883,0.751729263
0.587265609,0.748417681
0.588398928,0.746973366
0.591386771,0.743180295
0.575468782,0.763184015
